"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","grounded theory"
"http://orkg.org/orkg/resource/R220898","analysis","descriptive","inferential","machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","axial coding"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","open coding"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","selective coding"
"http://orkg.org/orkg/resource/R193920","analysis","descriptive","inferential","machine learning","content analysis"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","content analysis"
"http://orkg.org/orkg/resource/R113067","analysis","descriptive","inferential","machine learning","peer-coding"
"http://orkg.org/orkg/resource/R211370","analysis","descriptive","inferential","machine learning","coding"
"http://orkg.org/orkg/resource/R195849","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220343","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220633","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R584044","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227465","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227514","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193929","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193490","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R76818","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R194932","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R113160","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220364","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R369238","analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193798","analysis","descriptive",,"machine learning","Crowdsourcing"
"http://orkg.org/orkg/resource/R580049","analysis","descriptive",,"machine learning","Time complexity"
"http://orkg.org/orkg/resource/R596003","analysis","descriptive",,"machine learning","Software Cost Reduction"
"http://orkg.org/orkg/resource/R193481","analysis","descriptive",,"machine learning","grounded theory"
"http://orkg.org/orkg/resource/R195998","analysis","descriptive",,"machine learning","grounded theory"
"http://orkg.org/orkg/resource/R193025","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R194084","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R211336","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R586470","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R279079","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R280486","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R287873","analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R228262","analysis","descriptive",,"machine learning","individual coding"
"http://orkg.org/orkg/resource/R228262","analysis","descriptive",,"machine learning","pair coding"
"http://orkg.org/orkg/resource/R196070","analysis","descriptive",,"machine learning","thematic analysis"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","category coding"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","manual analysis"
"http://orkg.org/orkg/resource/R195113","analysis","descriptive",,"machine learning","protocol coding"
"http://orkg.org/orkg/resource/R193828","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R194253","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R194360","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R108199","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R112434","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R196014","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R111988","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R78392","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R211351","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R195597","analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R193341","analysis","descriptive",,"machine learning","regularity analysis"
"http://orkg.org/orkg/resource/R193371","analysis","descriptive",,"machine learning","error analysis"
"http://orkg.org/orkg/resource/R193481","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R193898","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194139","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194360","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194610","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R76792","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R195998","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194607","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R195495","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R78432","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R198972","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R78392","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R211351","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R225589","analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194125","analysis","descriptive",,"machine learning","post-mortem analysis"
"http://orkg.org/orkg/resource/R196014","analysis","descriptive",,"machine learning","two-cycle coding"
"http://orkg.org/orkg/resource/R108199","analysis","descriptive",,"machine learning","human judgement"
"http://orkg.org/orkg/resource/R220303","analysis","descriptive",,"machine learning","Readability analysis"
"http://orkg.org/orkg/resource/R369142","analysis","descriptive",,"machine learning","subjective analysis"
"http://orkg.org/orkg/resource/R193385","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R198689","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199028","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199113","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211327","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211380","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211452","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211459","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220354","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220605","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R221176","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R276031","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R276051","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R279109","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R576739","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R558201","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R580133","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R583105","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R583135","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R584020","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R589047","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R227533","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R281188","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R229316","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R192428","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R192445","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R193925","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194317","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194345","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194414","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194428","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194445","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194884","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R287836","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R195692","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211177","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211283","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220831","analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R647097","analysis","descriptive","inferential",,"transcript analysis"
"http://orkg.org/orkg/resource/R198979","analysis","descriptive","inferential",,"eye tracking method"
"http://orkg.org/orkg/resource/R113008","analysis","descriptive","inferential",,"Crowdsourcing"
"http://orkg.org/orkg/resource/R288742","analysis","descriptive","inferential",,"social network analysis"
"http://orkg.org/orkg/resource/R287851","analysis","descriptive","inferential",,"single factor analysis"
"http://orkg.org/orkg/resource/R583903","analysis","descriptive","inferential",,"HUCRE"
"http://orkg.org/orkg/resource/R586519","analysis","descriptive","inferential",,"CREWS-SAVRE"
"http://orkg.org/orkg/resource/R586519","analysis","descriptive","inferential",,"Unified Modeling Language (UML) class hierarchies"
"http://orkg.org/orkg/resource/R196046","analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R194401","analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R198681","analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R598284","analysis","descriptive","inferential",,"comparative analysis"
"http://orkg.org/orkg/resource/R200049","analysis","descriptive","inferential",,"open coding"
"http://orkg.org/orkg/resource/R194431","analysis","descriptive","inferential",,"open coding"
"http://orkg.org/orkg/resource/R193308","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193044","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R193441","analysis","descriptive","inferential",,"thematic analysis"
"http://orkg.org/orkg/resource/R647097","analysis","descriptive","inferential",,"category coding"
"http://orkg.org/orkg/resource/R193295","analysis","descriptive","inferential",,"category coding"
"http://orkg.org/orkg/resource/R249030","analysis","descriptive","inferential",,"triangulation"
"http://orkg.org/orkg/resource/R283080","analysis","descriptive","inferential",,"signal analysis"
"http://orkg.org/orkg/resource/R194431","analysis","descriptive","inferential",,"pattern coding"
"http://orkg.org/orkg/resource/R198681","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R195129","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R195767","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R193295","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R220583","analysis","descriptive","inferential",,"content analysis"
"http://orkg.org/orkg/resource/R193308","analysis","descriptive","inferential",,"deductive coding"
"http://orkg.org/orkg/resource/R211106","analysis","descriptive","inferential",,"coding"
